formulas,prototypes
S4Sb2,P-11
Sb2Se4,P-16
Sb2Se4,P-16
Sb2Te4,P-16
Sc2Te4,P-15
Sn2Se4,P-11
Sn2Te4,P-11
Ta2Te4,P-15
Ta2Te4,P-15
Tl2S4,P-11
Tl2Se4,P-11
Tl2Te4,P-11
V2S4,P-15
V2Se4,P-15
V2Te4,P-15
W2Se4,P-15
W2Se4,P-15
W2Te4,P-15
W2Te4,P-15
Zn2S4,P-16
Zn2Se4,P-16
Zn2Te4,P-16
AuO2,P-12
AuO2,P-12
AuO2,P-14
AuS2,P-12
AuS2,P-14
AuSe2,P-12
AuSe2,P-14
AuTe2,P-12
AuTe2,P-14
CoO2,P-12
CoO2,P-14
CoS2,P-12
CoS2,P-12
CoS2,P-14
CoSe2,P-12
